"CpG","Beta","SE","P","FDR","Trait","threshold"
"cg07504977",0.001034637,0.000145587,1.19e-12,1.51e-11,"BMI","F005"
"cg07558761",0.000422999,8.97e-05,2.41e-06,4.47e-06,"BMI","F005"
"cg07609780",0.000295626,6.95e-05,2.09e-05,3.18e-05,"BMI","F005"
"cg07682160",0.000534364,9.03e-05,3.24e-09,1.32e-08,"BMI","F005"
"cg07719604",0.000439647,0.000112666,9.53e-05,0.000125298,"BMI","F005"
"cg07728579",0.000543278,9.15e-05,2.92e-09,1.22e-08,"BMI","F005"
"cg07730360",0.000345625,8.84e-05,9.21e-05,0.000121699,"BMI","F005"
"cg07769588",0.000522511,0.000112875,3.67e-06,6.54e-06,"BMI","F005"
"cg07805604",0.000326675,6.49e-05,4.87e-07,1.09e-06,"BMI","F005"
"cg07814318",0.000783828,0.000116443,1.68e-11,1.43e-10,"BMI","F005"
"cg07912766",0.000459654,0.000105072,1.22e-05,1.95e-05,"BMI","F005"
"cg08051604",0.000453834,7.97e-05,1.22e-08,4.13e-08,"BMI","F005"
"cg08055663",0.000418573,7.04e-05,2.73e-09,1.15e-08,"BMI","F005"
"cg08109625",0.000213246,7.55e-05,0.004732394,0.005098301,"BMI","F005"
"cg08129017",0.000476691,0.000114439,3.11e-05,4.54e-05,"BMI","F005"
"cg08239103",-0.000269354,8.53e-05,0.00159766,0.00179683,"BMI","F005"
"cg08255481",0.000275685,8.08e-05,0.000645548,0.000756558,"BMI","F005"
"cg08274633",-0.000285363,9.59e-05,0.002934344,0.003233451,"BMI","F005"
"cg08297985",0.000338143,7.87e-05,1.75e-05,2.7e-05,"BMI","F005"
"cg08305942",-0.000773213,0.000101682,2.87e-14,5.37e-13,"BMI","F005"
"cg08309687",-0.001184012,0.000148612,1.62e-15,4.33e-14,"BMI","F005"
"cg08316365",0.000413694,8.3e-05,6.15e-07,1.33e-06,"BMI","F005"
"cg08342194",0.000420164,0.000102666,4.27e-05,6.03e-05,"BMI","F005"
"cg08352115",0.000633555,9.01e-05,2.07e-12,2.36e-11,"BMI","F005"
"cg08388111",0.000528004,8.55e-05,6.61e-10,3.41e-09,"BMI","F005"
"cg08400424",-0.000157348,6.73e-05,0.019322015,0.020008098,"BMI","F005"
"cg08422172",0.00028609,6.7e-05,1.94e-05,2.97e-05,"BMI","F005"
"cg08443357",0.000364339,8.79e-05,3.39e-05,4.88e-05,"BMI","F005"
"cg08469255",0.000306967,7.62e-05,5.65e-05,7.77e-05,"BMI","F005"
"cg08537367",0.00037822,8.53e-05,9.17e-06,1.5e-05,"BMI","F005"
"cg08548559",-0.00091286,0.000132248,5.1e-12,5.16e-11,"BMI","F005"
"cg08554257",-0.000329467,8.15e-05,5.33e-05,7.36e-05,"BMI","F005"
"cg08570691",-0.000201975,7.16e-05,0.004813485,0.00518121,"BMI","F005"
"cg08648047",0.000259732,7.09e-05,0.000248841,0.000307133,"BMI","F005"
"cg08666707",-0.000442576,8.67e-05,3.34e-07,7.78e-07,"BMI","F005"
"cg08696931",0.000347342,7.99e-05,1.38e-05,2.19e-05,"BMI","F005"
"cg08788930",0.000520809,0.000100871,2.43e-07,5.88e-07,"BMI","F005"
"cg08813944",0.000538085,9.65e-05,2.48e-08,7.76e-08,"BMI","F005"
"cg08824847",-0.000419173,0.000131203,0.00139907,0.001589161,"BMI","F005"
"cg08843623",0.000364996,0.000124803,0.003449361,0.003768219,"BMI","F005"
"cg08881019",-0.000253827,5.42e-05,2.8e-06,5.08e-06,"BMI","F005"
"cg08944236",0.000360303,8.73e-05,3.64e-05,5.23e-05,"BMI","F005"
"cg09012125",0.000470283,0.000104067,6.21e-06,1.05e-05,"BMI","F005"
"cg09018739",0.000445635,8.47e-05,1.44e-07,3.76e-07,"BMI","F005"
"cg09037630",-0.000354442,8.07e-05,1.13e-05,1.83e-05,"BMI","F005"
"cg09038267",0.000230288,3.72e-05,6.06e-10,3.22e-09,"BMI","F005"
"cg09039672",0.000455732,7.43e-05,8.48e-10,4.22e-09,"BMI","F005"
"cg09055236",0.00045,8.39e-05,8.26e-08,2.31e-07,"BMI","F005"
"cg09079018",0.000267712,6.63e-05,5.38e-05,7.41e-05,"BMI","F005"
"cg09082287",0.00029825,9.96e-05,0.002744406,0.003037498,"BMI","F005"
"cg09092525",-0.000668617,0.000131923,4.01e-07,9.17e-07,"BMI","F005"
"cg09138671",-0.000650628,0.000116409,2.28e-08,7.23e-08,"BMI","F005"
"cg09147065",0.000406076,9.38e-05,1.49e-05,2.34e-05,"BMI","F005"
"cg09152259",-0.000772814,0.000134348,8.8e-09,3.1e-08,"BMI","F005"
"cg09182678",-0.000433637,5.6e-05,9.21e-15,2.06e-13,"BMI","F005"
"cg09249494",0.000599084,9.74e-05,7.63e-10,3.86e-09,"BMI","F005"
"cg09251317",-0.000378126,7.29e-05,2.18e-07,5.35e-07,"BMI","F005"
"cg09276842",-0.000395228,5.83e-05,1.25e-11,1.11e-10,"BMI","F005"
"cg09286468",0.000650215,0.000136829,2.01e-06,3.84e-06,"BMI","F005"
"cg09297903",0.000780861,0.000127748,9.81e-10,4.79e-09,"BMI","F005"
"cg09315878",-0.000656104,0.000125575,1.74e-07,4.41e-07,"BMI","F005"
"cg09380069",-0.000354469,8.85e-05,6.2e-05,8.47e-05,"BMI","F005"
"cg09390241",-0.000290539,0.000126842,0.021988265,0.022638165,"BMI","F005"
"cg09404516",0.000160653,7.26e-05,0.026905821,0.027565277,"BMI","F005"
"cg09554443",-0.000817652,0.000126496,1.02e-10,6.94e-10,"BMI","F005"
"cg09561830",-0.00071679,0.000119355,1.91e-09,8.36e-09,"BMI","F005"
"cg09577455",-0.000461783,9.86e-05,2.83e-06,5.12e-06,"BMI","F005"
"cg09581649",0.00031886,7.33e-05,1.35e-05,2.15e-05,"BMI","F005"
"cg09608652",0.000207173,5.37e-05,0.000113514,0.000147357,"BMI","F005"
"cg09613192",0.000832761,0.000129318,1.2e-10,8.03e-10,"BMI","F005"
"cg09624923",-0.000638251,8.16e-05,5.3e-15,1.25e-13,"BMI","F005"
"cg09637172",-0.000386727,9.22e-05,2.76e-05,4.09e-05,"BMI","F005"
"cg09664445",0.000490724,7.79e-05,3e-10,1.75e-09,"BMI","F005"
"cg09737197",-0.000527501,9.03e-05,5.14e-09,1.98e-08,"BMI","F005"
"cg09757644",-0.000334351,0.000103333,0.001213593,0.00138728,"BMI","F005"
"cg09777883",0.00064027,9.17e-05,2.86e-12,3.12e-11,"BMI","F005"
"cg09831562",0.00109385,0.000120754,1.32e-19,7.9e-18,"BMI","F005"
"cg09834049",-0.00017918,5.51e-05,0.001142681,0.001310999,"BMI","F005"
"cg09866569",0.000491607,9.8e-05,5.28e-07,1.16e-06,"BMI","F005"
"cg09876440",-0.000880816,0.000171157,2.66e-07,6.35e-07,"BMI","F005"
"cg09956615",0.000472932,8.26e-05,1.03e-08,3.57e-08,"BMI","F005"
"cg09978353",0.000289684,0.000107013,0.006789465,0.007221364,"BMI","F005"
"cg10037913",-0.000163866,3.51e-05,3.07e-06,5.53e-06,"BMI","F005"
"cg10042645",0.000768983,0.000156573,9.05e-07,1.87e-06,"BMI","F005"
"cg10062919",0.000333807,7.31e-05,5e-06,8.72e-06,"BMI","F005"
"cg10080966",-0.000371258,8.1e-05,4.57e-06,8.03e-06,"BMI","F005"
"cg10127660",0.000342197,8.54e-05,6.11e-05,8.36e-05,"BMI","F005"
"cg10168457",0.0002747,6.28e-05,1.2e-05,1.93e-05,"BMI","F005"
"cg10179300",0.000520706,9.5e-05,4.25e-08,1.28e-07,"BMI","F005"
"cg10183965",0.000366452,8.68e-05,2.42e-05,3.62e-05,"BMI","F005"
"cg10189661",0.00044226,0.000122519,0.000306519,0.000373906,"BMI","F005"
"cg10192877",0.000242087,5.06e-05,1.75e-06,3.38e-06,"BMI","F005"
"cg10381071",-0.0003747,7.23e-05,2.19e-07,5.37e-07,"BMI","F005"
"cg10397932",-0.00029146,4.97e-05,4.47e-09,1.76e-08,"BMI","F005"
"cg10423113",0.000232184,4.16e-05,2.32e-08,7.3e-08,"BMI","F005"
"cg10438589",0.000717242,0.000104005,5.34e-12,5.36e-11,"BMI","F005"
"cg10440877",0.00051227,8.07e-05,2.21e-10,1.34e-09,"BMI","F005"
"cg10504000",-0.000440157,9.65e-05,5.09e-06,8.86e-06,"BMI","F005"
"cg10508317",-0.000391018,5.85e-05,2.28e-11,1.82e-10,"BMI","F005"
"cg10513161",0.000284872,6.25e-05,5.15e-06,8.96e-06,"BMI","F005"
"cg10548968",-0.000966135,0.000155735,5.51e-10,2.96e-09,"BMI","F005"
"cg10601624",-0.00060708,8.07e-05,5.19e-14,9.17e-13,"BMI","F005"
"cg10636246",-0.000809932,0.000122867,4.34e-11,3.28e-10,"BMI","F005"
"cg10663078",0.000417877,7.81e-05,8.67e-08,2.39e-07,"BMI","F005"
"cg10700424",-0.00013513,6.12e-05,0.027250465,0.027895578,"BMI","F005"
"cg10717869",0.00042283,8.28e-05,3.28e-07,7.66e-07,"BMI","F005"
"cg10734665",-0.000595112,0.000120099,7.23e-07,1.52e-06,"BMI","F005"
"cg10753966",0.00073049,0.000212796,0.000597332,0.00070466,"BMI","F005"
"cg10755899",0.000544619,0.00014399,0.000155367,0.000197797,"BMI","F005"
"cg10790747",0.000265446,6.87e-05,0.000110762,0.000144233,"BMI","F005"
"cg10814005",-0.000347927,7.64e-05,5.2e-06,9.02e-06,"BMI","F005"
"cg10819350",0.00060155,0.000102795,4.86e-09,1.9e-08,"BMI","F005"
"cg10852154",0.000300856,7.75e-05,0.000103013,0.00013456,"BMI","F005"
"cg10861731",0.001051645,0.000219754,1.71e-06,3.32e-06,"BMI","F005"
"cg10919522",-0.00083171,0.000103879,1.18e-15,3.29e-14,"BMI","F005"
"cg10922280",0.000535824,8.02e-05,2.36e-11,1.88e-10,"BMI","F005"
"cg10927968",0.000967853,0.000103509,8.73e-21,6.84e-19,"BMI","F005"
"cg10950524",0.000556007,0.000175133,0.001499565,0.001692687,"BMI","F005"
"cg10951380",-0.000307785,0.000105242,0.003449693,0.003768219,"BMI","F005"
"cg10965178",0.000406544,8.66e-05,2.64e-06,4.85e-06,"BMI","F005"
"cg10987503",0.000375748,6.46e-05,5.98e-09,2.27e-08,"BMI","F005"
"cg11001536",0.000509036,0.000117699,1.53e-05,2.39e-05,"BMI","F005"
"cg11039729",0.00035614,6.79e-05,1.55e-07,3.99e-07,"BMI","F005"
"cg11042320",0.00018935,9.09e-05,0.037333893,0.03796975,"BMI","F005"
"cg11078090",0.000263356,6.2e-05,2.16e-05,3.27e-05,"BMI","F005"
"cg11080540",0.000408548,8.63e-05,2.19e-06,4.13e-06,"BMI","F005"
"cg11080651",-0.00031766,6.53e-05,1.15e-06,2.33e-06,"BMI","F005"
"cg11106652",-0.00067389,0.000151144,8.25e-06,1.37e-05,"BMI","F005"
"cg11183227",0.000494883,8.16e-05,1.3e-09,6.11e-09,"BMI","F005"
"cg11202345",0.000900221,0.00011366,2.37e-15,5.94e-14,"BMI","F005"
"cg11258381",-0.000473712,9.51e-05,6.35e-07,1.37e-06,"BMI","F005"
"cg11303839",-0.000753593,0.000176018,1.86e-05,2.85e-05,"BMI","F005"
"cg11370064",0.000805183,0.000167,1.43e-06,2.82e-06,"BMI","F005"
"cg11376147",-0.000318443,5.26e-05,1.39e-09,6.45e-09,"BMI","F005"
"cg11468085",0.00054353,8.06e-05,1.51e-11,1.3e-10,"BMI","F005"
"cg11485012",0.000314436,9.03e-05,0.000498563,0.000591483,"BMI","F005"
"cg11494773",-0.000176049,3.98e-05,9.93e-06,1.62e-05,"BMI","F005"
"cg11574975",0.000418442,0.000100572,3.17e-05,4.61e-05,"BMI","F005"
"cg11588197",-0.00084955,0.000120336,1.67e-12,1.99e-11,"BMI","F005"
"cg11592786",-0.000178062,4e-05,8.42e-06,1.39e-05,"BMI","F005"
"cg11650298",-0.000346713,6.82e-05,3.68e-07,8.48e-07,"BMI","F005"
"cg11660018",0.000577065,0.000117879,9.81e-07,2.02e-06,"BMI","F005"
"cg11789371",-0.000290988,5.94e-05,9.59e-07,1.98e-06,"BMI","F005"
"cg11849692",0.000492625,6.76e-05,3.16e-13,4.56e-12,"BMI","F005"
"cg11884933",0.000327775,7.91e-05,3.41e-05,4.89e-05,"BMI","F005"
"cg11900509",0.000860202,0.00022012,9.31e-05,0.000122646,"BMI","F005"
"cg11919558",0.000322815,6.64e-05,1.16e-06,2.35e-06,"BMI","F005"
"cg11927233",0.000675621,0.000124146,5.26e-08,1.56e-07,"BMI","F005"
"cg11931953",8.62e-05,2.62e-05,0.001019634,0.001175204,"BMI","F005"
"cg11969813",0.000569454,9.79e-05,6.09e-09,2.3e-08,"BMI","F005"
"cg12014818",0.000422765,9.35e-05,6.15e-06,1.04e-05,"BMI","F005"
"cg12030667",0.000244135,6.04e-05,5.24e-05,7.25e-05,"BMI","F005"
"cg12032027",-0.000418475,9.15e-05,4.83e-06,8.46e-06,"BMI","F005"
"cg12054453",-0.001190393,0.000179931,3.69e-11,2.86e-10,"BMI","F005"
"cg12072028",0.000666379,0.000230351,0.003817192,0.004155173,"BMI","F005"
"cg12073466",-0.000476504,0.000120972,8.18e-05,0.000108714,"BMI","F005"
"cg12106976",0.000261254,8.77e-05,0.002883764,0.003180511,"BMI","F005"
"cg12142865",-0.000360555,6.89e-05,1.66e-07,4.24e-07,"BMI","F005"
"cg12269535",-0.000987158,0.000118036,6.11e-17,2.25e-15,"BMI","F005"
"cg12307314",-0.000259529,6.97e-05,0.000196129,0.000246685,"BMI","F005"
"cg12332902",-0.000398272,7.58e-05,1.5e-07,3.89e-07,"BMI","F005"
"cg12336777",0.000260163,0.000104865,0.013103898,0.013659425,"BMI","F005"
"cg12338137",-0.000606732,8.74e-05,3.82e-12,3.96e-11,"BMI","F005"
"cg12467090",0.000342123,7.88e-05,1.43e-05,2.25e-05,"BMI","F005"
"cg12484113",0.000681755,8.07e-05,3.05e-17,1.16e-15,"BMI","F005"
"cg12510708",-0.00048348,0.000102899,2.62e-06,4.82e-06,"BMI","F005"
"cg12542255",0.000764883,0.000217266,0.000430736,0.000513444,"BMI","F005"
"cg12555233",0.000326797,5.49e-05,2.69e-09,1.14e-08,"BMI","F005"
"cg12570716",-0.000374814,9.22e-05,4.76e-05,6.63e-05,"BMI","F005"
"cg12571570",-0.000261866,9.06e-05,0.003863903,0.004202371,"BMI","F005"
"cg12582959",0.000417739,7.78e-05,8.04e-08,2.25e-07,"BMI","F005"
"cg12593793",-0.000722981,8.76e-05,1.58e-16,5.34e-15,"BMI","F005"
"cg12600749",0.000453514,0.000169507,0.00746196,0.007916496,"BMI","F005"
"cg12612420",0.000325269,7.29e-05,8.17e-06,1.36e-05,"BMI","F005"
"cg12620005",-0.000469042,5.85e-05,1.06e-15,3.03e-14,"BMI","F005"
"cg12623364",0.000458778,8.55e-05,8.07e-08,2.26e-07,"BMI","F005"
"cg12644285",-0.000833282,0.000108759,1.83e-14,3.71e-13,"BMI","F005"
"cg12658897",0.000388168,6.92e-05,2.08e-08,6.63e-08,"BMI","F005"
"cg12678073",0.000189667,6.31e-05,0.00263185,0.002918073,"BMI","F005"
"cg12712184",-0.000320099,7.59e-05,2.47e-05,3.68e-05,"BMI","F005"
"cg12762413",-0.0002717,7.59e-05,0.000346028,0.00041884,"BMI","F005"
"cg12782654",0.000338622,6.27e-05,6.76e-08,1.94e-07,"BMI","F005"
"cg12825509",0.000620075,0.000119002,1.88e-07,4.7e-07,"BMI","F005"
"cg12923994",0.000224391,4.74e-05,2.18e-06,4.12e-06,"BMI","F005"
"cg13039251",-0.000959951,0.000152875,3.4e-10,1.96e-09,"BMI","F005"
"cg13059136",0.000611947,0.000107352,1.2e-08,4.08e-08,"BMI","F005"
"cg13061976",0.0004629,8.6e-05,7.33e-08,2.08e-07,"BMI","F005"
"cg13063967",0.000254756,6.49e-05,8.68e-05,0.000114978,"BMI","F005"
"cg13072943",-0.000592616,0.000132139,7.3e-06,1.23e-05,"BMI","F005"
"cg13097800",-0.000380512,9.1e-05,2.89e-05,4.25e-05,"BMI","F005"
"cg13123009",0.000800121,8.35e-05,9.68e-22,9.34e-20,"BMI","F005"
"cg13134297",-0.000728003,8.88e-05,2.41e-16,7.96e-15,"BMI","F005"
"cg13139542",0.000483777,8.21e-05,3.8e-09,1.52e-08,"BMI","F005"
"cg13174306",-0.000464163,8.11e-05,1.05e-08,3.62e-08,"BMI","F005"
"cg13222915",-0.000786548,8.2e-05,8.52e-22,8.9e-20,"BMI","F005"
"cg13274938",0.00056461,6.84e-05,1.49e-16,5.2e-15,"BMI","F005"
"cg13276570",0.000232844,5.96e-05,9.31e-05,0.000122646,"BMI","F005"
"cg13299325",-0.000233514,0.00010352,0.024086381,0.024737365,"BMI","F005"
"cg13300580",0.000462878,7.25e-05,1.75e-10,1.1e-09,"BMI","F005"
"cg13307058",0.000219968,7.47e-05,0.003235155,0.003546228,"BMI","F005"
"cg13442606",-0.000441888,8.96e-05,8.08e-07,1.69e-06,"BMI","F005"
"cg13488078",0.000320854,6.86e-05,2.86e-06,5.18e-06,"BMI","F005"
"cg13518625",-0.000393216,7.95e-05,7.66e-07,1.6e-06,"BMI","F005"
"cg13522406",0.000511985,8.47e-05,1.51e-09,6.93e-09,"BMI","F005"
"cg13558754",0.000404076,8.81e-05,4.56e-06,8.03e-06,"BMI","F005"
"cg13562284",-0.000507093,8.94e-05,1.39e-08,4.59e-08,"BMI","F005"
"cg13590277",-0.000369242,7.17e-05,2.6e-07,6.26e-07,"BMI","F005"
"cg13591783",-0.000503332,9.16e-05,3.86e-08,1.17e-07,"BMI","F005"
"cg13606255",-0.000269322,7.81e-05,0.000563564,0.000666707,"BMI","F005"
"cg13643184",-0.000323607,9.98e-05,0.001190776,0.001362439,"BMI","F005"
"cg13659446",0.000227712,4.54e-05,5.37e-07,1.18e-06,"BMI","F005"
"cg13668129",-0.000182558,6.04e-05,0.002509606,0.002789935,"BMI","F005"
"cg13691961",0.000987057,0.000168941,5.14e-09,1.98e-08,"BMI","F005"
"cg13696490",-0.000778415,0.000136615,1.21e-08,4.13e-08,"BMI","F005"
"cg13708645",0.000953425,0.000155591,8.91e-10,4.4e-09,"BMI","F005"
"cg13729116",0.000248697,7.63e-05,0.00111358,0.001279954,"BMI","F005"
"cg13758913",0.00049413,8.38e-05,3.66e-09,1.47e-08,"BMI","F005"
"cg13770461",-0.000571713,8.31e-05,5.93e-12,5.81e-11,"BMI","F005"
"cg13784312",-0.000291696,5.75e-05,4e-07,9.15e-07,"BMI","F005"
"cg13823169",-0.000553287,0.000110177,5.12e-07,1.14e-06,"BMI","F005"
"cg13917151",0.000346929,7.39e-05,2.66e-06,4.87e-06,"BMI","F005"
"cg13920435",-0.000208092,5.22e-05,6.62e-05,8.98e-05,"BMI","F005"
"cg13958389",0.000483045,0.000114451,2.44e-05,3.64e-05,"BMI","F005"
"cg14017402",0.000850411,0.000128455,3.58e-11,2.81e-10,"BMI","F005"
"cg14098681",-9.53e-05,3.71e-05,0.010186334,0.010725157,"BMI","F005"
"cg14117297",0.000224117,6.55e-05,0.000627253,0.000737184,"BMI","F005"
"cg14141458",0.00017723,6.43e-05,0.00586456,0.006274879,"BMI","F005"
"cg14145074",0.000653845,9.39e-05,3.4e-12,3.62e-11,"BMI","F005"
"cg14162417",-0.000554922,0.000107746,2.6e-07,6.26e-07,"BMI","F005"
"cg14205864",-0.000428841,7.11e-05,1.61e-09,7.2e-09,"BMI","F005"
"cg14237301",0.000578775,9.25e-05,3.95e-10,2.21e-09,"BMI","F005"
"cg14264316",0.00048456,0.000102915,2.5e-06,4.62e-06,"BMI","F005"
"cg14276379",-0.000458957,0.000157784,0.003628647,0.003953365,"BMI","F005"
"cg14341014",0.000339539,5.86e-05,6.82e-09,2.51e-08,"BMI","F005"
"cg14352682",0.00017945,7.07e-05,0.011129453,0.011678941,"BMI","F005"
"cg14399122",0.000348549,0.000128392,0.006633142,0.007061086,"BMI","F005"
"cg14419424",0.000293943,0.000111128,0.008167048,0.008649897,"BMI","F005"
"cg14435720",0.00026714,6.3e-05,2.24e-05,3.36e-05,"BMI","F005"
"cg14439774",0.000148693,4.75e-05,0.001741739,0.001953614,"BMI","F005"
"cg14468090",0.000309939,7.73e-05,6.1e-05,8.36e-05,"BMI","F005"
"cg14476101",-0.001238299,0.000179798,5.69e-12,5.66e-11,"BMI","F005"
"cg14509967",0.000639289,0.000134409,1.97e-06,3.78e-06,"BMI","F005"
"cg14531564",-0.000601197,9.19e-05,6.11e-11,4.4e-10,"BMI","F005"
"cg14564351",0.000438323,9.01e-05,1.13e-06,2.31e-06,"BMI","F005"
"cg14582057",0.00033718,8.27e-05,4.6e-05,6.44e-05,"BMI","F005"
"cg14628343",0.000486411,9.6e-05,4.03e-07,9.19e-07,"BMI","F005"
"cg14693090",0.00042945,7.58e-05,1.47e-08,4.85e-08,"BMI","F005"
"cg14711869",-0.000291973,8.78e-05,0.000878115,0.001015826,"BMI","F005"
"cg14838970",0.000288391,7.79e-05,0.000212388,0.000264746,"BMI","F005"
"cg14902389",-0.00030206,6.23e-05,1.25e-06,2.5e-06,"BMI","F005"
"cg14920061",0.000380573,8.92e-05,2.01e-05,3.06e-05,"BMI","F005"
"cg14928932",0.000270503,6.46e-05,2.79e-05,4.13e-05,"BMI","F005"
"cg14939082",0.000310773,7.77e-05,6.33e-05,8.63e-05,"BMI","F005"
"cg14992144",0.000365351,6.85e-05,9.48e-08,2.57e-07,"BMI","F005"
"cg15012027",-0.00069967,0.000141169,7.19e-07,1.51e-06,"BMI","F005"
"cg15020801",0.000514209,8.82e-05,5.56e-09,2.13e-08,"BMI","F005"
"cg15125472",0.000244063,7.15e-05,0.000637393,0.000747699,"BMI","F005"
"cg15135047",0.000523322,8.17e-05,1.49e-10,9.67e-10,"BMI","F005"
"cg15138339",0.000524276,8.35e-05,3.42e-10,1.96e-09,"BMI","F005"
"cg15154002",0.000296148,6.66e-05,8.77e-06,1.44e-05,"BMI","F005"
"cg15159104",0.000382933,7.26e-05,1.32e-07,3.48e-07,"BMI","F005"
"cg15227982",0.000338576,6.75e-05,5.28e-07,1.16e-06,"BMI","F005"
"cg15296767",0.000393198,7.08e-05,2.8e-08,8.73e-08,"BMI","F005"
"cg15323828",-0.000371759,9.71e-05,0.000128497,0.000165947,"BMI","F005"
"cg15344192",0.00047421,0.000123986,0.00013092,0.000168729,"BMI","F005"
"cg15357118",0.000626165,8.81e-05,1.18e-12,1.51e-11,"BMI","F005"
"cg15416179",-0.00017345,4.23e-05,4.19e-05,5.94e-05,"BMI","F005"
"cg15448210",0.000330685,8.13e-05,4.72e-05,6.58e-05,"BMI","F005"
"cg15484033",-0.000454234,0.000106105,1.86e-05,2.85e-05,"BMI","F005"
"cg15609237",0.000478613,9.39e-05,3.45e-07,8e-07,"BMI","F005"
"cg15648041",-0.000343949,7.32e-05,2.6e-06,4.78e-06,"BMI","F005"
"cg15651928",0.000183086,8.04e-05,0.022778613,0.023432633,"BMI","F005"
"cg15667493",0.000352679,7.92e-05,8.42e-06,1.39e-05,"BMI","F005"
"cg15696506",-0.00087918,0.000121298,4.23e-13,5.82e-12,"BMI","F005"
"cg15697257",-0.000280324,6.2e-05,6.11e-06,1.04e-05,"BMI","F005"
"cg15721584",0.001359511,0.000155396,2.16e-18,1e-16,"BMI","F005"
"cg15722603",-0.000374356,7.46e-05,5.18e-07,1.14e-06,"BMI","F005"
"cg15763258",0.00041247,9.05e-05,5.21e-06,9.02e-06,"BMI","F005"
"cg15812586",-0.000321538,8.27e-05,0.000100194,0.000131152,"BMI","F005"
"cg15819225",0.000427971,8.2e-05,1.77e-07,4.46e-07,"BMI","F005"
"cg15829728",0.000570295,8.09e-05,1.78e-12,2.08e-11,"BMI","F005"
"cg15860624",0.000599672,0.000132137,5.67e-06,9.76e-06,"BMI","F005"
"cg15867698",0.000315034,7.96e-05,7.52e-05,0.000100369,"BMI","F005"
"cg15871086",0.000506124,8.52e-05,2.86e-09,1.19e-08,"BMI","F005"
"cg15901722",-0.00051779,9.11e-05,1.3e-08,4.36e-08,"BMI","F005"
"cg15963913",0.000218634,9.42e-05,0.020347979,0.021035751,"BMI","F005"
"cg15989436",-0.000501399,0.000104051,1.44e-06,2.85e-06,"BMI","F005"
"cg16001613",-0.000270554,7.41e-05,0.000263337,0.00032375,"BMI","F005"
"cg16063162",0.000500277,0.000138402,0.00030073,0.0003672,"BMI","F005"
"cg16097041",0.000495601,8.01e-05,6.18e-10,3.27e-09,"BMI","F005"
"cg16140253",0.00019439,7.14e-05,0.006453745,0.006875952,"BMI","F005"
"cg16151960",-0.000474472,8.72e-05,5.29e-08,1.56e-07,"BMI","F005"
"cg16163382",-0.000306712,5.6e-05,4.3e-08,1.29e-07,"BMI","F005"
"cg16197636",0.000806902,0.000152463,1.21e-07,3.2e-07,"BMI","F005"
"cg16223546",-0.000309603,6.72e-05,4.11e-06,7.29e-06,"BMI","F005"
"cg16246545",-0.000842748,0.000149025,1.56e-08,5.09e-08,"BMI","F005"
"cg16292343",0.00013353,6.35e-05,0.035402029,0.036063481,"BMI","F005"
"cg16305292",0.000464736,7.58e-05,8.91e-10,4.4e-09,"BMI","F005"
"cg16324306",0.000441065,8.43e-05,1.67e-07,4.25e-07,"BMI","F005"
"cg16335893",0.000187495,7.2e-05,0.009169872,0.00967931,"BMI","F005"
"cg16357921",-0.000311005,6.56e-05,2.1e-06,3.97e-06,"BMI","F005"
"cg16391678",-0.000323354,7.8e-05,3.4e-05,4.89e-05,"BMI","F005"
"cg16395997",0.000636107,0.000100799,2.78e-10,1.63e-09,"BMI","F005"
"cg16407699",0.000773026,0.000121189,1.79e-10,1.12e-09,"BMI","F005"
"cg16466652",0.000300574,6.99e-05,1.7e-05,2.64e-05,"BMI","F005"
"cg16505891",0.000193107,9.63e-05,0.044932709,0.045587068,"BMI","F005"
"cg16508714",0.0002283,8.15e-05,0.00506682,0.005449222,"BMI","F005"
"cg16519923",-0.000426062,9.16e-05,3.26e-06,5.85e-06,"BMI","F005"
"cg16547579",0.000508056,9.99e-05,3.62e-07,8.37e-07,"BMI","F005"
"cg16578636",-0.000335601,0.00017042,0.048924056,0.049556354,"BMI","F005"
"cg16618104",-0.000470738,8.81e-05,9.21e-08,2.51e-07,"BMI","F005"
"cg16638248",-0.000396305,8.44e-05,2.68e-06,4.9e-06,"BMI","F005"
"cg16655795",0.000517301,7.3e-05,1.35e-12,1.66e-11,"BMI","F005"
"cg16735495",-0.00040374,8.49e-05,1.95e-06,3.75e-06,"BMI","F005"
"cg16739178",0.000339155,9.43e-05,0.000321101,0.000390175,"BMI","F005"
"cg16746221",0.000540379,0.000187482,0.003947805,0.004278779,"BMI","F005"
"cg16755922",0.000683278,0.000123452,3.12e-08,9.6e-08,"BMI","F005"
"cg16764778",0.000238828,6.33e-05,0.000160845,0.000204563,"BMI","F005"
"cg16815882",0.000539632,6.97e-05,9.83e-15,2.09e-13,"BMI","F005"
"cg16861241",0.000143127,6.12e-05,0.019303647,0.020005597,"BMI","F005"
"cg16936953",-0.001148999,0.000163493,2.1e-12,2.37e-11,"BMI","F005"
"cg16969872",-0.000308551,0.000121974,0.011417635,0.011961332,"BMI","F005"
"cg17058475",-0.000656733,7.21e-05,8.23e-20,5.43e-18,"BMI","F005"
"cg17061862",-0.000661201,0.000132347,5.85e-07,1.27e-06,"BMI","F005"
"cg17066943",-0.000199209,4.12e-05,1.31e-06,2.6e-06,"BMI","F005"
"cg17113968",0.000432264,6.63e-05,7.1e-11,5.03e-10,"BMI","F005"
"cg17137186",-0.000328804,4.79e-05,6.94e-12,6.74e-11,"BMI","F005"
"cg17156491",-0.000297194,0.00011076,0.007291875,0.007742601,"BMI","F005"
